roc_auc,std,params,model__ccp_alpha,model__criterion,model__learning_rate,model__loss,model__max_depth,model__max_features,model__min_samples_leaf,model__n_iter_no_change,model__subsample
0.8439498786115702,0.0046732921145845015,"{'model__ccp_alpha': 0.0002471291468768133, 'model__criterion': 'squared_error', 'model__learning_rate': 0.05, 'model__loss': 'log_loss', 'model__max_depth': 16, 'model__max_features': None, 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.0002471291468768133,squared_error,0.05,log_loss,16,,25,15,0.9
0.843789258984355,0.005416336431833188,"{'model__ccp_alpha': 0.004067793754145263, 'model__criterion': 'squared_error', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 25, 'model__subsample': 0.7}",0.004067793754145263,squared_error,0.3,exponential,7,,75,25,0.7
0.8437467401352648,0.004696829407968352,"{'model__ccp_alpha': 0.0002801540241709723, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'log_loss', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.0002801540241709723,squared_error,0.03,log_loss,27,,75,50,0.7
0.8434216503134386,0.005107342467638617,"{'model__ccp_alpha': 0.0033028793618806365, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 16, 'model__max_features': 'auto', 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 10, 'model__subsample': 0.9}",0.0033028793618806365,friedman_mse,0.3,exponential,16,auto,50,10,0.9
0.8433398330447439,0.005416496696046143,"{'model__ccp_alpha': 0.004071745924462149, 'model__criterion': 'squared_error', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 13, 'model__max_features': 'auto', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 5, 'model__subsample': 1.0}",0.004071745924462149,squared_error,0.01,exponential,13,auto,25,5,1.0
0.8432359070877193,0.004252007170678833,"{'model__ccp_alpha': 0.0012394993400323953, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.005, 'model__loss': 'log_loss', 'model__max_depth': 9, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 25, 'model__subsample': 0.7}",0.0012394993400323953,friedman_mse,0.005,log_loss,9,log2,25,25,0.7
0.8430413015628296,0.005122010954665757,"{'model__ccp_alpha': 0.006980807516241801, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 4, 'model__max_features': None, 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.006980807516241801,friedman_mse,0.01,exponential,4,,10,50,0.7
0.8427464220706675,0.005528101270696192,"{'model__ccp_alpha': 0.008206399374583066, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 25, 'model__subsample': 0.7}",0.008206399374583066,squared_error,0.03,exponential,7,,50,25,0.7
0.8426754142792969,0.004957324700797681,"{'model__ccp_alpha': 0.0006091590957884279, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'deviance', 'model__max_depth': 28, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.0006091590957884279,squared_error,0.03,deviance,28,,75,50,0.7
0.842570035265695,0.005786001634700673,"{'model__ccp_alpha': 0.004072207224827349, 'model__criterion': 'squared_error', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 6, 'model__max_features': 'auto', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.9}",0.004072207224827349,squared_error,0.3,exponential,6,auto,75,10,0.9
