roc_auc,std,params,model__grow_policy,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_lambda,model__subsample
0.8639172777741255,0.0034506830356945376,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 14, 'model__min_child_samples': 75, 'model__reg_lambda': 69.54314843440591, 'model__subsample': 0.7}",Depthwise,0.2,14,75,69.54314843440591,0.7
0.8639002658385637,0.003684413554102478,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 50, 'model__reg_lambda': 18.075804994900317, 'model__subsample': 0.8}",Depthwise,0.1,16,50,18.075804994900317,0.8
0.8638960825594466,0.0035135318934612315,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__min_child_samples': 10, 'model__reg_lambda': 47.835770506057024, 'model__subsample': 0.7}",Depthwise,0.2,7,10,47.835770506057024,0.7
0.8638953677373351,0.0037414823438646798,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 75, 'model__reg_lambda': 72.18820007123638, 'model__subsample': 0.8}",Lossguide,0.1,16,75,72.18820007123638,0.8
0.8638893413965739,0.003869777828160301,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_samples': 10, 'model__reg_lambda': 81.59682328595184, 'model__subsample': 0.7}",SymmetricTree,0.1,9,10,81.59682328595184,0.7
0.8638846356331061,0.004027836321330861,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_lambda': 76.99546544218964, 'model__subsample': 0.9}",Depthwise,0.1,7,25,76.99546544218964,0.9
0.8638743941119531,0.003896337810658513,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 75, 'model__reg_lambda': 61.60218062484381, 'model__subsample': 0.8}",Lossguide,0.1,5,75,61.60218062484381,0.8
0.863863078807511,0.003767237943394391,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 50, 'model__reg_lambda': 23.33329022062215, 'model__subsample': 0.8}",Depthwise,0.1,16,50,23.33329022062215,0.8
0.863856881274938,0.0036163961559472903,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__min_child_samples': 10, 'model__reg_lambda': 61.54664260015577, 'model__subsample': 0.7}",Depthwise,0.2,6,10,61.54664260015577,0.7
0.8638423131963522,0.0040392363103476416,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 14, 'model__min_child_samples': 150, 'model__reg_lambda': 65.486360930731, 'model__subsample': 0.6}",Depthwise,0.05,14,150,65.486360930731,0.6
0.8638378950604961,0.003875680644808565,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_samples': 150, 'model__reg_lambda': 86.65633931430254, 'model__subsample': 1.0}",Depthwise,0.1,6,150,86.65633931430254,1.0
0.863820926105976,0.003984632059410094,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 12, 'model__min_child_samples': 150, 'model__reg_lambda': 81.20186144093789, 'model__subsample': 0.7}",Depthwise,0.05,12,150,81.20186144093789,0.7
0.8637904030159081,0.003868341745725551,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 25, 'model__reg_lambda': 94.48964215001601, 'model__subsample': 0.7}",Lossguide,0.1,16,25,94.48964215001601,0.7
0.8637902934292911,0.003483016915197959,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 32.64043660451574, 'model__subsample': 1.0}",Depthwise,0.3,13,150,32.64043660451574,1.0
0.8637876830960302,0.0035737986996324175,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 98.19694694468623, 'model__subsample': 1.0}",Depthwise,0.3,13,150,98.19694694468623,1.0
0.863777503297974,0.0038708376596978287,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__min_child_samples': 75, 'model__reg_lambda': 9.114924491688058, 'model__subsample': 0.8}",Lossguide,0.2,11,75,9.114924491688058,0.8
0.8637743887506124,0.0037916125628315077,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 150, 'model__reg_lambda': 58.17325561149993, 'model__subsample': 0.7}",SymmetricTree,0.1,7,150,58.17325561149993,0.7
0.8637564962536277,0.0036387728355529664,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.3, 'model__max_depth': 8, 'model__min_child_samples': 50, 'model__reg_lambda': 9.921239198380405, 'model__subsample': 0.6}",Lossguide,0.3,8,50,9.921239198380405,0.6
0.8637521903413182,0.003740164696315244,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_lambda': 55.58054688263615, 'model__subsample': 0.7}",Depthwise,0.2,15,150,55.58054688263615,0.7
0.8637445863072699,0.0034877575352568447,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_samples': 50, 'model__reg_lambda': 94.2199200231613, 'model__subsample': 0.7}",Depthwise,0.1,6,50,94.2199200231613,0.7
0.8637445542038386,0.0037221414784451494,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 10, 'model__reg_lambda': 68.72590771311106, 'model__subsample': 0.7}",Lossguide,0.1,5,10,68.72590771311106,0.7
0.8637413273716452,0.0036686211383967693,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 150, 'model__reg_lambda': 64.27028532458172, 'model__subsample': 0.9}",Depthwise,0.1,5,150,64.27028532458172,0.9
0.8637275745367952,0.0039287077198273766,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 14, 'model__min_child_samples': 75, 'model__reg_lambda': 87.4771824945236, 'model__subsample': 0.9}",Depthwise,0.1,14,75,87.4771824945236,0.9
0.8637228430619167,0.0038066904607008713,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_samples': 150, 'model__reg_lambda': 82.16004689856649, 'model__subsample': 0.6}",SymmetricTree,0.1,9,150,82.16004689856649,0.6
0.8636769587955129,0.003200229651811263,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 50, 'model__reg_lambda': 70.21297427650144, 'model__subsample': 0.7}",Depthwise,0.1,7,50,70.21297427650144,0.7
0.8636634194196757,0.0036824481839356675,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.3, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 17.782250324042387, 'model__subsample': 1.0}",SymmetricTree,0.3,11,150,17.782250324042387,1.0
