roc_auc,std,params,model__booster,model__gamma,model__grow_policy,model__learning_rate,model__max_delta_step,model__max_depth,model__reg_alpha,model__reg_lambda,model__subsample
0.8608386932570301,0.0034018085095164022,"{'model__booster': 'dart', 'model__gamma': 17.578937819649745, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 6.011071550956312, 'model__max_depth': 18, 'model__reg_alpha': 19.103814113849857, 'model__reg_lambda': 45.494576691424264, 'model__subsample': 0.9}",dart,17.578937819649745,lossguide,0.3,6.011071550956312,18,19.103814113849857,45.494576691424264,0.9
0.8606816384349614,0.003619151112615589,"{'model__booster': 'gbtree', 'model__gamma': 20.875197318318865, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 6.761470110309213, 'model__max_depth': 16, 'model__reg_alpha': 0.12273233454017074, 'model__reg_lambda': 9.970521899814635, 'model__subsample': 0.7}",gbtree,20.875197318318865,lossguide,0.3,6.761470110309213,16,0.12273233454017074,9.970521899814635,0.7
0.8606785523476874,0.003526032837526052,"{'model__booster': 'dart', 'model__gamma': 5.190445307991947, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 1.3510771659627014, 'model__max_depth': 16, 'model__reg_alpha': 65.39947830738848, 'model__reg_lambda': 67.08227402550578, 'model__subsample': 0.6}",dart,5.190445307991947,depthwise,0.3,1.3510771659627014,16,65.39947830738848,67.08227402550578,0.6
0.8606459447339134,0.003705596177263837,"{'model__booster': 'dart', 'model__gamma': 19.126219201262934, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 7.881852286282008, 'model__max_depth': 17, 'model__reg_alpha': 6.120436192255097, 'model__reg_lambda': 49.70769830281246, 'model__subsample': 1.0}",dart,19.126219201262934,lossguide,0.3,7.881852286282008,17,6.120436192255097,49.70769830281246,1.0
0.8606088683759927,0.003268176401480289,"{'model__booster': 'dart', 'model__gamma': 2.611901174412842, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 4.841113980003984, 'model__max_depth': 29, 'model__reg_alpha': 77.75802915056465, 'model__reg_lambda': 97.79336253466312, 'model__subsample': 0.6}",dart,2.611901174412842,depthwise,0.3,4.841113980003984,29,77.75802915056465,97.79336253466312,0.6
0.8605383413486173,0.003297360737023336,"{'model__booster': 'gbtree', 'model__gamma': 14.536212024086499, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.474274980074107, 'model__max_depth': 24, 'model__reg_alpha': 76.85617596753235, 'model__reg_lambda': 14.487952356761191, 'model__subsample': 0.8}",gbtree,14.536212024086499,lossguide,0.3,9.474274980074107,24,76.85617596753235,14.487952356761191,0.8
0.8605205258888132,0.0035659640627457713,"{'model__booster': 'dart', 'model__gamma': 9.102436916620169, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 4.304575863877657, 'model__max_depth': 21, 'model__reg_alpha': 54.087326005774514, 'model__reg_lambda': 90.91972284958679, 'model__subsample': 0.6}",dart,9.102436916620169,depthwise,0.3,4.304575863877657,21,54.087326005774514,90.91972284958679,0.6
0.8602261128663985,0.003778308433653801,"{'model__booster': 'dart', 'model__gamma': 14.525166696241257, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.2, 'model__max_delta_step': 9.993189019167023, 'model__max_depth': 4, 'model__reg_alpha': 1.9341109573350668, 'model__reg_lambda': 52.719570350217786, 'model__subsample': 1.0}",dart,14.525166696241257,lossguide,0.2,9.993189019167023,4,1.9341109573350668,52.719570350217786,1.0
0.8601930570026186,0.0039285072531389294,"{'model__booster': 'dart', 'model__gamma': 18.957095456086982, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.530114914613817, 'model__max_depth': 22, 'model__reg_alpha': 12.935621645723797, 'model__reg_lambda': 45.56349291127377, 'model__subsample': 0.6}",dart,18.957095456086982,lossguide,0.3,9.530114914613817,22,12.935621645723797,45.56349291127377,0.6
0.8601430288088613,0.003590275149812443,"{'model__booster': 'dart', 'model__gamma': 14.526328413601622, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 5.309091994573091, 'model__max_depth': 17, 'model__reg_alpha': 25.006631911682558, 'model__reg_lambda': 93.76249512896499, 'model__subsample': 0.6}",dart,14.526328413601622,depthwise,0.3,5.309091994573091,17,25.006631911682558,93.76249512896499,0.6
0.8600624851269139,0.0032524987016189677,"{'model__booster': 'dart', 'model__gamma': 5.800983802321399, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 1.3264682148801064, 'model__max_depth': 16, 'model__reg_alpha': 86.66203978690487, 'model__reg_lambda': 69.1244955541703, 'model__subsample': 0.6}",dart,5.800983802321399,depthwise,0.3,1.3264682148801064,16,86.66203978690487,69.1244955541703,0.6
0.8600209032115671,0.0032284124802366317,"{'model__booster': 'dart', 'model__gamma': 16.85686718250766, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 3.0321415167776067, 'model__max_depth': 15, 'model__reg_alpha': 39.92013324593309, 'model__reg_lambda': 83.23745434348918, 'model__subsample': 0.7}",dart,16.85686718250766,depthwise,0.3,3.0321415167776067,15,39.92013324593309,83.23745434348918,0.7
0.8599533167484387,0.0033143945032761872,"{'model__booster': 'dart', 'model__gamma': 13.157336689732746, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 1.679177768081611, 'model__max_depth': 20, 'model__reg_alpha': 41.62583849748473, 'model__reg_lambda': 82.98447400406404, 'model__subsample': 0.6}",dart,13.157336689732746,depthwise,0.3,1.679177768081611,20,41.62583849748473,82.98447400406404,0.6
