roc_auc,std,params,model__boosting_type,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_alpha,model__reg_lambda,model__subsample
0.8634462935870729,0.0034408602149322075,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 25, 'model__reg_alpha': 60.550044691907374, 'model__reg_lambda': 6.7328292178377644, 'model__subsample': 1.0}",gbdt,0.1,11,25,60.550044691907374,6.7328292178377644,1.0
0.8634459820138272,0.003614073396504946,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 100, 'model__reg_alpha': 69.0363285758699, 'model__reg_lambda': 6.523846464258106, 'model__subsample': 1.0}",gbdt,0.1,7,100,69.0363285758699,6.523846464258106,1.0
0.8634329965227213,0.003587979641536924,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 24, 'model__min_child_samples': 25, 'model__reg_alpha': 30.088636078101448, 'model__reg_lambda': 38.94387377690042, 'model__subsample': 0.7}",gbdt,0.1,24,25,30.088636078101448,38.94387377690042,0.7
0.8634319219801899,0.003634187458362667,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 75, 'model__reg_alpha': 50.47075021478406, 'model__reg_lambda': 19.671502356237443, 'model__subsample': 1.0}",gbdt,0.1,25,75,50.47075021478406,19.671502356237443,1.0
0.863430964029636,0.0038230510043740155,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 27, 'model__min_child_samples': 25, 'model__reg_alpha': 9.958706230128426, 'model__reg_lambda': 77.00901615252795, 'model__subsample': 0.9}",gbdt,0.1,27,25,9.958706230128426,77.00901615252795,0.9
0.8634302710430919,0.0037387811293120264,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 19, 'model__min_child_samples': 50, 'model__reg_alpha': 28.572979627862665, 'model__reg_lambda': 51.17104890288413, 'model__subsample': 0.8}",gbdt,0.1,19,50,28.572979627862665,51.17104890288413,0.8
0.8634189833703669,0.0035757234245852422,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 75, 'model__reg_alpha': 32.24825016853508, 'model__reg_lambda': 69.89896965594599, 'model__subsample': 0.7}",gbdt,0.1,25,75,32.24825016853508,69.89896965594599,0.7
0.8634031821204792,0.00371408831100396,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 18, 'model__min_child_samples': 50, 'model__reg_alpha': 22.19568770148143, 'model__reg_lambda': 59.91221262066462, 'model__subsample': 1.0}",gbdt,0.1,18,50,22.19568770148143,59.91221262066462,1.0
0.8633940734529352,0.0033893734421074585,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 25, 'model__reg_alpha': 54.12684024064998, 'model__reg_lambda': 20.777987974752907, 'model__subsample': 0.9}",gbdt,0.1,25,25,54.12684024064998,20.777987974752907,0.9
0.8633937930936932,0.0038037401735787338,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 21, 'model__min_child_samples': 150, 'model__reg_alpha': 26.986030232104362, 'model__reg_lambda': 64.34608125748599, 'model__subsample': 0.9}",gbdt,0.1,21,150,26.986030232104362,64.34608125748599,0.9
0.8633821176357757,0.0035856586307050444,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 21, 'model__min_child_samples': 150, 'model__reg_alpha': 0.0005373446196177412, 'model__reg_lambda': 96.0506719926095, 'model__subsample': 1.0}",gbdt,0.1,21,150,0.0005373446196177412,96.0506719926095,1.0
0.8633681515783618,0.003411000478687393,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 100, 'model__reg_alpha': 38.201433414334105, 'model__reg_lambda': 88.23818938175006, 'model__subsample': 0.9}",gbdt,0.1,5,100,38.201433414334105,88.23818938175006,0.9
0.8633611688025372,0.003925917106873937,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 26, 'model__min_child_samples': 100, 'model__reg_alpha': 13.841556271991937, 'model__reg_lambda': 30.056615605655985, 'model__subsample': 1.0}",gbdt,0.1,26,100,13.841556271991937,30.056615605655985,1.0
0.8633564686127467,0.003824248765695135,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 25, 'model__reg_alpha': 25.61041489641768, 'model__reg_lambda': 41.80728521310713, 'model__subsample': 1.0}",gbdt,0.1,11,25,25.61041489641768,41.80728521310713,1.0
0.863353802646342,0.0033920153856086353,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 19, 'model__min_child_samples': 25, 'model__reg_alpha': 58.09312864389566, 'model__reg_lambda': 0.9214338421292219, 'model__subsample': 1.0}",gbdt,0.1,19,25,58.09312864389566,0.9214338421292219,1.0
0.86332109511086,0.003300147708916164,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 28, 'model__min_child_samples': 50, 'model__reg_alpha': 61.70215458676219, 'model__reg_lambda': 67.22353449210114, 'model__subsample': 1.0}",gbdt,0.1,28,50,61.70215458676219,67.22353449210114,1.0
0.8633174023489666,0.003787477980749836,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_alpha': 11.143460618145289, 'model__reg_lambda': 81.47495560685128, 'model__subsample': 1.0}",gbdt,0.1,15,150,11.143460618145289,81.47495560685128,1.0
0.8632845199438576,0.003537790707530591,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 29, 'model__min_child_samples': 10, 'model__reg_alpha': 54.7580328775957, 'model__reg_lambda': 1.1877968876635556, 'model__subsample': 0.8}",gbdt,0.1,29,10,54.7580328775957,1.1877968876635556,0.8
0.8632675301724207,0.0033807885803057484,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 29, 'model__min_child_samples': 75, 'model__reg_alpha': 78.35346633686751, 'model__reg_lambda': 8.265781497057938, 'model__subsample': 0.6}",gbdt,0.1,29,75,78.35346633686751,8.265781497057938,0.6
0.8632665327618216,0.0033813994394935702,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 17, 'model__min_child_samples': 150, 'model__reg_alpha': 81.2020196113691, 'model__reg_lambda': 62.27743727088031, 'model__subsample': 0.7}",gbdt,0.1,17,150,81.2020196113691,62.27743727088031,0.7
0.8632411604318116,0.0031170534397032897,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__min_child_samples': 25, 'model__reg_alpha': 0.30496846766421193, 'model__reg_lambda': 17.77585504178592, 'model__subsample': 1.0}",gbdt,0.1,4,25,0.30496846766421193,17.77585504178592,1.0
0.8632218261575648,0.0033742651563131885,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 20, 'model__min_child_samples': 75, 'model__reg_alpha': 66.90513084094339, 'model__reg_lambda': 68.32489113028623, 'model__subsample': 0.7}",gbdt,0.1,20,75,66.90513084094339,68.32489113028623,0.7
0.8631918714714875,0.0036806531066124197,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.2, 'model__max_depth': 12, 'model__min_child_samples': 25, 'model__reg_alpha': 70.86303935014237, 'model__reg_lambda': 6.7631564376275435, 'model__subsample': 0.9}",gbdt,0.2,12,25,70.86303935014237,6.7631564376275435,0.9
0.8631534584667232,0.0037358361386564767,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.2, 'model__max_depth': 23, 'model__min_child_samples': 10, 'model__reg_alpha': 72.27339853340595, 'model__reg_lambda': 0.03864258626355621, 'model__subsample': 0.9}",gbdt,0.2,23,10,72.27339853340595,0.03864258626355621,0.9
0.8631424688203984,0.0035821936202432183,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 17, 'model__min_child_samples': 50, 'model__reg_alpha': 56.960263003394886, 'model__reg_lambda': 36.24337738215457, 'model__subsample': 0.9}",gbdt,0.1,17,50,56.960263003394886,36.24337738215457,0.9
0.8631214944827441,0.0037267850363042823,"{'model__boosting_type': 'dart', 'model__learning_rate': 0.3, 'model__max_depth': 22, 'model__min_child_samples': 75, 'model__reg_alpha': 74.878316208181, 'model__reg_lambda': 42.929140390268685, 'model__subsample': 0.8}",dart,0.3,22,75,74.878316208181,42.929140390268685,0.8
0.8630645272106456,0.003747576926001813,"{'model__boosting_type': 'dart', 'model__learning_rate': 0.2, 'model__max_depth': 11, 'model__min_child_samples': 25, 'model__reg_alpha': 30.79646931882057, 'model__reg_lambda': 14.212184566591414, 'model__subsample': 1.0}",dart,0.2,11,25,30.79646931882057,14.212184566591414,1.0
0.8629802496310232,0.003772588215144631,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__min_child_samples': 75, 'model__reg_alpha': 45.342985435968785, 'model__reg_lambda': 66.06296496459652, 'model__subsample': 1.0}",gbdt,0.2,7,75,45.342985435968785,66.06296496459652,1.0
0.8628740980747711,0.0034397014683789856,"{'model__boosting_type': 'dart', 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__min_child_samples': 50, 'model__reg_alpha': 34.305065202457364, 'model__reg_lambda': 74.57555506598274, 'model__subsample': 0.9}",dart,0.2,6,50,34.305065202457364,74.57555506598274,0.9
0.8628537442933654,0.003669890684669451,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.3, 'model__max_depth': 17, 'model__min_child_samples': 10, 'model__reg_alpha': 73.79435692620116, 'model__reg_lambda': 46.30539886094027, 'model__subsample': 0.9}",gbdt,0.3,17,10,73.79435692620116,46.30539886094027,0.9
0.8628241967871254,0.003921142000666926,"{'model__boosting_type': 'dart', 'model__learning_rate': 0.2, 'model__max_depth': 18, 'model__min_child_samples': 10, 'model__reg_alpha': 10.477185902225585, 'model__reg_lambda': 73.55787280537982, 'model__subsample': 0.8}",dart,0.2,18,10,10.477185902225585,73.55787280537982,0.8
0.8627664344725277,0.003652282079492753,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.2, 'model__max_depth': 21, 'model__min_child_samples': 10, 'model__reg_alpha': 43.586891473515536, 'model__reg_lambda': 61.691526391633545, 'model__subsample': 0.6}",gbdt,0.2,21,10,43.586891473515536,61.691526391633545,0.6
0.8626944608303919,0.003912515687375027,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.05, 'model__max_depth': 20, 'model__min_child_samples': 25, 'model__reg_alpha': 0.0013073555345144428, 'model__reg_lambda': 25.57631656023299, 'model__subsample': 1.0}",gbdt,0.05,20,25,0.0013073555345144428,25.57631656023299,1.0
